Info 0    [20:32:11.437] Starting TS Server
Info 1    [20:32:11.443] Version: 3.6.3
Info 2    [20:32:11.443] Arguments: c:\Program Files\nodejs\node.exe c:\Program Files\nodejs\node_modules\typescript\bin\tsserver --logFile c:\Users\Jules\Code\dropshift\src\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\Jules\AppData\Local\Temp\b9fb18133889653031c667cc49fba355\tscancellation*
Info 3    [20:32:11.443] Platform: win32 NodeVersion: 12 CaseSensitive: false
Info 4    [20:32:11.459] Search path: c:/Users/Jules/Code/dropshift/src
Info 5    [20:32:11.460] For info: c:/Users/Jules/Code/dropshift/src/index.js :: No config files found.
Info 6    [20:32:11.464] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [20:32:13.297] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1833ms
Info 8    [20:32:13.298] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [20:32:13.298] 	Files (85)

Info 10   [20:32:13.298] -----------------------------------------------
Info 11   [20:32:16.195] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 12   [20:32:16.195] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 13   [20:32:16.195] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 14   [20:32:16.195] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 15   [20:32:16.207] DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d/README.md :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
Info 16   [20:32:16.207] Elapsed:: 0ms DirectoryWatcher:: Triggered with C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules/.staging/types-registry-3b634a7d/README.md :: WatchInfo: C:/Users/Jules/AppData/Local/Microsoft/TypeScript/3.6/node_modules 1 Project: /dev/null/inferredProject1* WatchType: Failed Lookup Locations
